path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
SCB<-CS,1200,0.3931867849688278,0.3913800252935619,-0.0018067596752658899,-0.4595168872230882,0.024493011978233413,0.024450745041980505,0.02675252772619406,0.968,1.0
SCB<-CS,1600,0.3931867849688278,0.39210626762935263,-0.0010805173394751733,-0.2748101871119828,0.02086251392462695,0.020855379719891667,0.023151627519747777,0.976,1.0
SCB<-CS,2400,0.3931867849688278,0.3912955848013662,-0.001891200167461582,-0.48099281047981,0.017177081681843065,0.01708975179058576,0.01890038193652517,0.962,1.0
SCB<-CS:community,200,0.1305991001053836,0.13245445125042551,0.001855351145041928,1.4206461939864774,0.058713722114543426,0.05874317285767932,0.06158954233409997,0.96,0.584
SCB<-CS:community,400,0.1305991001053836,0.13306180001408802,0.00246269990870443,1.885694393528256,0.042052043703739925,0.04202191298790722,0.04305301259557505,0.942,0.884
SCB<-CS:community,800,0.1305991001053836,0.13513497532077237,0.004535875215388785,3.4731289968261234,0.028753939401017174,0.02842235965158625,0.030287432336873876,0.956,0.996
SCB<-CS:community,1200,0.1305991001053836,0.13527591307247125,0.004676812967087662,3.5810453236492577,0.02467418853002723,0.02425116983906827,0.02461121670707858,0.96,1.0
SCB<-CS:community,1600,0.1305991001053836,0.13328500820157377,0.0026859080961901816,2.056605362519566,0.022058221826155102,0.021916014034788156,0.021253126295939367,0.946,1.0
SCB<-CS:community,2400,0.1305991001053836,0.13508948061648174,0.004490380511098152,3.43829360802668,0.018320416460705997,0.01777938004737497,0.017369233810390426,0.932,1.0
SPS<-CS,200,0.3260588066319826,0.3291716640121882,0.0031128573802056136,0.9546920116497573,0.06397422655829091,0.0639624434414762,0.06627752587224442,0.968,0.998
SPS<-CS,400,0.3260588066319826,0.32821814049672104,0.002159333864738433,0.6622528883782048,0.04735584434693252,0.047353965696717584,0.04655513289973398,0.95,1.0
SPS<-CS,800,0.3260588066319826,0.3248787560808845,-0.0011800505510980996,-0.36191341165840213,0.030446076015543222,0.03045366771335565,0.03277582175101892,0.97,1.0
SPS<-CS,1200,0.3260588066319826,0.3255954914736909,-0.00046331515829173275,-0.14209558179891404,0.025654825209148482,0.025676330412716365,0.026728849346095863,0.95,1.0
SPS<-CS,1600,0.3260588066319826,0.3269410015684063,0.0008821949364236636,0.27056313722471464,0.022418647323869598,0.022423717938347135,0.023130169669366478,0.962,1.0
SPS<-CS,2400,0.3260588066319826,0.32614745558607716,8.864895409455009e-05,0.027188026298070482,0.016582236412381518,0.01659860636516152,0.018871602756935987,0.974,1.0
